Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
9/21/2024,PA002,New York,London,Premium Economy,1175,Yes,0,Vegan
7/5/2024,PA001,London,New York,Premium Economy,850,Yes,0,Egg Free
8/20/2024,PA010,Tokyo,New York,Premium Economy,1365,Yes,0,Egg Free
10/15/2024,PA008,Perth,New York,Business Class,386.4,Yes,3,Egg Free
12/12/2024,PA010,Tokyo,New York,Business Class,793.2,Yes,1,None
2/14/2024,PA006,Tokyo,London,Business Class,270,Yes,0,Dairy Free
11/23/2024,PA003,London,Perth,Business Class,538.8,Yes,1,Vegetarian
2/14/2024,PA002,New York,London,First Class,296,Yes,0,Vegetarian
5/17/2024,PA003,London,Perth,Business Class,379.2,Yes,3,Nut Free
6/2/2024,PA007,New York,Perth,First Class,612,Yes,0,Nut Free
7/23/2024,PA005,London,Tokyo,Premium Economy,1015,Yes,3,Nut Free
8/21/2024,PA012,Tokyo,Perth,Business Class,572.4,Yes,0,None
3/17/2024,PA005,London,Tokyo,Economy,2380,Yes,1,Egg Free
11/27/2024,PA007,New York,Perth,Premium Economy,692.5,Yes,0,Nut Free
7/25/2024,PA009,New York,Tokyo,Business Class,734.4,Yes,2,Vegetarian
5/13/2024,PA006,Tokyo,London,Premium Economy,1520,Yes,3,Vegetarian
9/28/2024,PA011,Perth,Tokyo,Premium Economy,1397.5,Yes,2,Dairy Free
6/14/2024,PA009,New York,Tokyo,First Class,383,Yes,0,Dairy Free
6/8/2024,PA007,New York,Perth,Economy,2825,Yes,2,Vegetarian
1/9/2024,PA002,New York,London,First Class,342,Yes,2,Dairy Free
11/22/2024,PA003,London,Perth,Economy,2245,Yes,1,None
9/4/2024,PA002,New York,London,Premium Economy,1387.5,Yes,2,Vegetarian
9/19/2024,PA009,New York,Tokyo,Premium Economy,675,Yes,2,Egg Free
2/27/2024,PA004,Perth,London,First Class,535,Yes,3,Dairy Free
10/19/2024,PA001,London,New York,Premium Economy,545,Yes,0,Nut Free
3/26/2024,PA012,Tokyo,Perth,First Class,566,Yes,0,Dairy Free
9/27/2024,PA002,New York,London,Premium Economy,625,Yes,2,Dairy Free
5/11/2024,PA006,Tokyo,London,First Class,208,Yes,0,None
6/25/2024,PA012,Tokyo,Perth,Economy,2080,Yes,0,Vegetarian
8/3/2024,PA002,New York,London,First Class,284,Yes,0,None
4/27/2024,PA011,Perth,Tokyo,Economy,3245,Yes,3,Vegetarian
4/9/2024,PA006,Tokyo,London,Premium Economy,710,Yes,2,Egg Free
11/19/2024,PA003,London,Perth,Premium Economy,1357.5,Yes,3,Vegan
6/24/2024,PA006,Tokyo,London,First Class,245,Yes,1,Nut Free
2/12/2024,PA011,Perth,Tokyo,Business Class,505.2,Yes,1,Vegetarian
3/4/2024,PA008,Perth,New York,Business Class,538.8,Yes,0,Egg Free
12/15/2024,PA009,New York,Tokyo,Economy,1310,Yes,0,Egg Free
9/25/2024,PA008,Perth,New York,First Class,642,Yes,3,Vegan
2/23/2024,PA002,New York,London,Premium Economy,547.5,Yes,2,Nut Free
1/27/2024,PA004,Perth,London,Premium Economy,1147.5,Yes,2,Nut Free
6/20/2024,PA008,Perth,New York,First Class,217,Yes,2,Egg Free
10/14/2024,PA011,Perth,Tokyo,Economy,2180,Yes,1,Nut Free
4/1/2024,PA004,Perth,London,Business Class,261.6,Yes,0,Dairy Free
8/4/2024,PA011,Perth,Tokyo,Economy,1005,Yes,1,Dairy Free
4/9/2024,PA007,New York,Perth,Premium Economy,842.5,Yes,3,Egg Free
8/18/2024,PA002,New York,London,Premium Economy,1360,Yes,0,None
4/17/2024,PA002,New York,London,Economy,1630,Yes,1,Vegan
1/15/2024,PA004,Perth,London,Premium Economy,1472.5,Yes,0,Nut Free
2/10/2024,PA009,New York,Tokyo,First Class,368,Yes,3,Vegan
6/2/2024,PA006,Tokyo,London,Premium Economy,1735,Yes,3,Vegan
10/6/2024,PA010,Tokyo,New York,Premium Economy,992.5,Yes,3,Vegan
6/3/2024,PA011,Perth,Tokyo,First Class,201,Yes,1,Vegetarian
12/10/2024,PA002,New York,London,Economy,3030,Yes,2,Dairy Free
12/21/2024,PA001,London,New York,Business Class,655.2,Yes,2,None
9/10/2024,PA011,Perth,Tokyo,Business Class,306,Yes,0,Dairy Free
3/12/2024,PA006,Tokyo,London,Economy,3010,Yes,3,Egg Free
10/17/2024,PA005,London,Tokyo,First Class,228,Yes,1,None
8/24/2024,PA003,London,Perth,Economy,1780,Yes,3,Dairy Free
12/11/2024,PA004,Perth,London,First Class,595,Yes,2,Vegan
8/1/2024,PA003,London,Perth,Economy,2170,Yes,3,Nut Free
7/31/2024,PA010,Tokyo,New York,Premium Economy,1412.5,Yes,0,Vegan
10/8/2024,PA008,Perth,New York,Business Class,249.6,Yes,2,Nut Free
12/12/2024,PA010,Tokyo,New York,Premium Economy,1437.5,Yes,1,Egg Free
10/14/2024,PA009,New York,Tokyo,Economy,1360,Yes,1,Dairy Free
10/25/2024,PA008,Perth,New York,First Class,575,Yes,0,Nut Free
8/7/2024,PA002,New York,London,Premium Economy,832.5,Yes,0,None
12/4/2024,PA004,Perth,London,Economy,2540,Yes,3,Vegan
7/28/2024,PA005,London,Tokyo,First Class,263,Yes,2,None
3/12/2024,PA007,New York,Perth,Economy,2640,Yes,0,Vegan
5/11/2024,PA003,London,Perth,Economy,2885,Yes,3,Vegetarian
12/5/2024,PA008,Perth,New York,Economy,2200,Yes,1,Nut Free
3/13/2024,PA001,London,New York,Premium Economy,1422.5,Yes,0,Dairy Free
12/5/2024,PA012,Tokyo,Perth,Economy,2230,Yes,3,None
8/21/2024,PA008,Perth,New York,First Class,300,Yes,0,Vegan
10/31/2024,PA010,Tokyo,New York,Premium Economy,780,Yes,2,None
11/1/2024,PA009,New York,Tokyo,Premium Economy,1585,Yes,1,Dairy Free
6/4/2024,PA010,Tokyo,New York,First Class,389,Yes,1,Egg Free
6/12/2024,PA012,Tokyo,Perth,Business Class,318,Yes,1,Nut Free
8/13/2024,PA011,Perth,Tokyo,Economy,1165,Yes,0,None
2/3/2024,PA003,London,Perth,Premium Economy,1095,Yes,3,None
8/20/2024,PA005,London,Tokyo,Premium Economy,1632.5,Yes,2,Vegan
1/20/2024,PA004,Perth,London,First Class,440,Yes,3,Dairy Free
5/4/2024,PA007,New York,Perth,Premium Economy,1680,Yes,1,Nut Free
1/3/2024,PA006,Tokyo,London,Economy,1280,Yes,1,Dairy Free
4/11/2024,PA008,Perth,New York,First Class,676,Yes,1,Egg Free
3/21/2024,PA004,Perth,London,Business Class,836.4,Yes,1,Egg Free
10/9/2024,PA011,Perth,Tokyo,Economy,3065,Yes,3,Dairy Free
5/31/2024,PA007,New York,Perth,Premium Economy,725,Yes,3,Dairy Free
5/19/2024,PA005,London,Tokyo,Business Class,424.8,Yes,2,Nut Free
1/25/2024,PA012,Tokyo,Perth,Business Class,358.8,Yes,0,None
1/2/2024,PA003,London,Perth,Premium Economy,1200,Yes,3,Dairy Free
5/15/2024,PA008,Perth,New York,Business Class,427.2,Yes,0,Vegan
4/24/2024,PA010,Tokyo,New York,Economy,2130,Yes,0,Dairy Free
4/28/2024,PA002,New York,London,Business Class,241.2,Yes,2,Vegetarian
12/13/2024,PA003,London,Perth,Premium Economy,505,Yes,2,None
10/20/2024,PA011,Perth,Tokyo,First Class,385,Yes,2,Dairy Free
8/27/2024,PA002,New York,London,First Class,573,Yes,1,Vegan
11/12/2024,PA003,London,Perth,Economy,2190,Yes,3,Vegetarian
7/23/2024,PA009,New York,Tokyo,Business Class,339.6,Yes,1,Vegetarian
2/22/2024,PA005,London,Tokyo,Business Class,468,Yes,1,None
9/18/2024,PA001,London,New York,Economy,1020,Yes,0,Vegetarian
12/6/2024,PA011,Perth,Tokyo,Business Class,601.2,Yes,3,Dairy Free
10/10/2024,PA001,London,New York,Economy,3035,Yes,3,Vegetarian
12/14/2024,PA007,New York,Perth,Premium Economy,1305,Yes,2,Nut Free
11/7/2024,PA006,Tokyo,London,First Class,252,Yes,0,None
3/21/2024,PA003,London,Perth,Business Class,272.4,Yes,2,Nut Free
2/26/2024,PA009,New York,Tokyo,Premium Economy,1085,Yes,2,Vegan
7/31/2024,PA012,Tokyo,Perth,Premium Economy,817.5,Yes,1,Egg Free
1/20/2024,PA008,Perth,New York,Economy,2330,Yes,1,Egg Free
8/26/2024,PA007,New York,Perth,Economy,2235,Yes,1,None
4/5/2024,PA005,London,Tokyo,Economy,3005,Yes,0,None
1/5/2024,PA010,Tokyo,New York,First Class,681,Yes,0,None
3/2/2024,PA006,Tokyo,London,Business Class,558,Yes,2,Vegetarian
3/6/2024,PA009,New York,Tokyo,Economy,1840,Yes,3,Vegetarian
4/16/2024,PA012,Tokyo,Perth,First Class,506,Yes,2,Nut Free
5/29/2024,PA007,New York,Perth,Business Class,240,Yes,1,Vegetarian
1/4/2024,PA002,New York,London,Premium Economy,1635,Yes,2,Egg Free
7/7/2024,PA011,Perth,Tokyo,Economy,2590,Yes,1,Vegetarian
10/6/2024,PA003,London,Perth,Business Class,783.6,Yes,2,Vegan
5/3/2024,PA001,London,New York,Economy,3160,Yes,2,None
8/9/2024,PA011,Perth,Tokyo,First Class,512,Yes,0,Egg Free
10/27/2024,PA010,Tokyo,New York,Economy,1715,Yes,0,Nut Free
6/10/2024,PA009,New York,Tokyo,First Class,517,Yes,2,Vegan
12/20/2024,PA006,Tokyo,London,Economy,2725,Yes,0,Vegetarian
11/27/2024,PA012,Tokyo,Perth,Economy,2500,Yes,1,Dairy Free
3/23/2024,PA009,New York,Tokyo,Economy,2300,Yes,1,Dairy Free
7/6/2024,PA003,London,Perth,First Class,305,Yes,1,Egg Free
12/5/2024,PA002,New York,London,Business Class,499.2,Yes,0,Vegetarian
7/9/2024,PA012,Tokyo,Perth,Economy,1420,Yes,0,Nut Free
3/31/2024,PA006,Tokyo,London,First Class,300,Yes,0,None
5/6/2024,PA004,Perth,London,First Class,591,Yes,3,None
4/10/2024,PA001,London,New York,Premium Economy,1042.5,Yes,0,None
5/16/2024,PA003,London,Perth,Economy,2925,Yes,1,Vegan
12/1/2024,PA008,Perth,New York,First Class,340,Yes,1,Egg Free
6/26/2024,PA003,London,Perth,Business Class,463.2,Yes,1,Vegan
12/21/2024,PA001,London,New York,Business Class,325.2,Yes,3,Vegetarian
7/10/2024,PA007,New York,Perth,Economy,1600,Yes,1,Vegetarian
12/16/2024,PA006,Tokyo,London,Premium Economy,1582.5,Yes,0,Nut Free
5/23/2024,PA003,London,Perth,Economy,2045,Yes,2,None
8/14/2024,PA004,Perth,London,Premium Economy,742.5,Yes,2,Vegan
9/19/2024,PA011,Perth,Tokyo,Business Class,332.4,Yes,2,Dairy Free
7/6/2024,PA004,Perth,London,Premium Economy,595,Yes,2,Vegan
1/23/2024,PA001,London,New York,Premium Economy,1290,Yes,3,Vegan
7/7/2024,PA008,Perth,New York,First Class,348,Yes,2,Vegetarian
11/6/2024,PA001,London,New York,Economy,1245,Yes,2,None
8/19/2024,PA005,London,Tokyo,Business Class,421.2,Yes,0,Nut Free
5/6/2024,PA002,New York,London,Premium Economy,912.5,Yes,0,Dairy Free
12/17/2024,PA011,Perth,Tokyo,First Class,511,Yes,1,Dairy Free
7/29/2024,PA011,Perth,Tokyo,Business Class,337.2,Yes,1,Vegan
1/8/2024,PA008,Perth,New York,Economy,3065,Yes,1,Vegan
12/29/2024,PA003,London,Perth,Premium Economy,1107.5,Yes,1,None
8/29/2024,PA006,Tokyo,London,First Class,476,Yes,2,Vegan
4/4/2024,PA012,Tokyo,Perth,Business Class,818.4,Yes,1,Egg Free
8/9/2024,PA010,Tokyo,New York,First Class,665,Yes,3,Dairy Free
4/3/2024,PA004,Perth,London,First Class,427,Yes,1,None
10/6/2024,PA009,New York,Tokyo,Economy,3165,Yes,1,None
7/14/2024,PA006,Tokyo,London,First Class,630,Yes,1,Egg Free
1/5/2024,PA012,Tokyo,Perth,First Class,436,Yes,3,Nut Free
3/22/2024,PA007,New York,Perth,Economy,2240,Yes,0,Dairy Free
5/25/2024,PA010,Tokyo,New York,Business Class,674.4,Yes,3,None
3/20/2024,PA007,New York,Perth,Economy,1170,Yes,0,None
10/22/2024,PA001,London,New York,Premium Economy,952.5,Yes,1,None
12/24/2024,PA005,London,Tokyo,First Class,244,Yes,0,Vegetarian
2/1/2024,PA005,London,Tokyo,First Class,586,Yes,0,Dairy Free
2/20/2024,PA002,New York,London,Premium Economy,1737.5,Yes,3,Vegan
7/15/2024,PA006,Tokyo,London,Premium Economy,1342.5,Yes,2,Dairy Free
1/7/2024,PA003,London,Perth,Business Class,462,Yes,2,None
7/11/2024,PA002,New York,London,First Class,494,Yes,3,Vegan
1/8/2024,PA007,New York,Perth,Economy,2300,Yes,1,Vegetarian
8/19/2024,PA002,New York,London,First Class,213,Yes,0,Vegetarian
6/28/2024,PA009,New York,Tokyo,Economy,2850,Yes,1,Vegetarian
11/23/2024,PA003,London,Perth,First Class,646,Yes,1,Vegan
8/11/2024,PA012,Tokyo,Perth,Premium Economy,1140,Yes,2,Egg Free
5/2/2024,PA009,New York,Tokyo,Business Class,706.8,Yes,0,Egg Free
7/18/2024,PA007,New York,Perth,Business Class,709.2,Yes,2,Nut Free
11/25/2024,PA003,London,Perth,Economy,2155,Yes,2,Nut Free
6/10/2024,PA001,London,New York,Premium Economy,665,Yes,0,None
10/20/2024,PA001,London,New York,Business Class,451.2,Yes,2,Dairy Free
4/16/2024,PA009,New York,Tokyo,Business Class,282,Yes,2,Vegan
12/26/2024,PA006,Tokyo,London,Economy,2395,Yes,0,Dairy Free
3/26/2024,PA011,Perth,Tokyo,First Class,645,Yes,3,Egg Free
6/23/2024,PA007,New York,Perth,First Class,666,Yes,1,Egg Free
9/9/2024,PA012,Tokyo,Perth,Business Class,265.2,Yes,1,None
8/15/2024,PA006,Tokyo,London,Economy,1515,Yes,0,Egg Free
9/9/2024,PA009,New York,Tokyo,Premium Economy,1557.5,Yes,1,Dairy Free
4/7/2024,PA003,London,Perth,Premium Economy,1727.5,Yes,1,None
4/30/2024,PA009,New York,Tokyo,Economy,1220,Yes,3,Vegetarian
10/28/2024,PA010,Tokyo,New York,Business Class,796.8,Yes,2,Dairy Free
4/16/2024,PA008,Perth,New York,Economy,2235,Yes,1,Egg Free
8/27/2024,PA003,London,Perth,First Class,694,Yes,0,Dairy Free
2/6/2024,PA012,Tokyo,Perth,Premium Economy,570,Yes,2,Dairy Free
9/3/2024,PA009,New York,Tokyo,Premium Economy,840,Yes,0,Nut Free
12/31/2024,PA002,New York,London,Premium Economy,677.5,Yes,3,Nut Free
8/28/2024,PA003,London,Perth,Premium Economy,505,Yes,3,None
10/23/2024,PA001,London,New York,Economy,1155,Yes,1,Egg Free
10/2/2024,PA011,Perth,Tokyo,Business Class,679.2,Yes,3,Nut Free
4/1/2024,PA008,Perth,New York,Premium Economy,1530,Yes,1,Vegetarian
5/9/2024,PA002,New York,London,Economy,2585,Yes,1,Egg Free
4/25/2024,PA006,Tokyo,London,Economy,1650,Yes,3,Egg Free
5/3/2024,PA011,Perth,Tokyo,Business Class,627.6,Yes,2,Egg Free
6/20/2024,PA001,London,New York,First Class,456,Yes,3,Vegetarian
10/9/2024,PA012,Tokyo,Perth,Premium Economy,980,Yes,1,Egg Free
5/6/2024,PA006,Tokyo,London,Premium Economy,832.5,Yes,3,Egg Free
8/5/2024,PA007,New York,Perth,Economy,1765,Yes,1,Vegetarian
10/19/2024,PA002,New York,London,Premium Economy,650,Yes,1,Vegan
10/3/2024,PA007,New York,Perth,First Class,694,Yes,3,Nut Free
8/24/2024,PA006,Tokyo,London,Premium Economy,1447.5,Yes,3,None
11/19/2024,PA005,London,Tokyo,First Class,238,Yes,0,Vegetarian
6/19/2024,PA006,Tokyo,London,Economy,1705,Yes,2,Dairy Free
9/11/2024,PA004,Perth,London,Premium Economy,922.5,Yes,2,Vegetarian
7/18/2024,PA008,Perth,New York,First Class,395,Yes,2,Dairy Free
5/3/2024,PA001,London,New York,First Class,567,Yes,2,Vegan
2/7/2024,PA009,New York,Tokyo,Business Class,421.2,Yes,0,Vegetarian
8/6/2024,PA002,New York,London,Business Class,586.8,Yes,1,Vegetarian
12/13/2024,PA009,New York,Tokyo,Business Class,604.8,Yes,1,Vegan
7/4/2024,PA007,New York,Perth,Premium Economy,1080,Yes,3,Vegan
7/1/2024,PA004,Perth,London,Economy,1235,Yes,1,Vegan
8/13/2024,PA011,Perth,Tokyo,Business Class,768,Yes,3,Nut Free
12/16/2024,PA002,New York,London,Premium Economy,620,Yes,2,Egg Free
2/28/2024,PA006,Tokyo,London,Economy,1695,Yes,0,Dairy Free
11/19/2024,PA002,New York,London,Business Class,375.6,Yes,0,Nut Free
2/27/2024,PA009,New York,Tokyo,Business Class,369.6,Yes,1,Dairy Free
2/8/2024,PA006,Tokyo,London,Economy,1310,Yes,1,Dairy Free
2/14/2024,PA010,Tokyo,New York,Premium Economy,1107.5,Yes,1,Vegetarian
8/15/2024,PA012,Tokyo,Perth,Business Class,507.6,Yes,1,Vegan
3/7/2024,PA001,London,New York,Economy,2960,Yes,1,Egg Free
10/30/2024,PA010,Tokyo,New York,Business Class,402,Yes,2,Nut Free
5/1/2024,PA002,New York,London,First Class,277,Yes,3,Dairy Free
12/26/2024,PA008,Perth,New York,Business Class,475.2,Yes,1,Vegan
7/25/2024,PA012,Tokyo,Perth,Economy,3115,Yes,2,None
9/7/2024,PA009,New York,Tokyo,Economy,3310,Yes,0,Vegetarian
7/22/2024,PA006,Tokyo,London,Premium Economy,602.5,Yes,2,None
3/14/2024,PA005,London,Tokyo,Premium Economy,1457.5,Yes,3,Dairy Free
8/27/2024,PA007,New York,Perth,Business Class,726,Yes,3,Dairy Free
9/23/2024,PA009,New York,Tokyo,Premium Economy,1275,Yes,2,Nut Free
10/10/2024,PA002,New York,London,Economy,3000,Yes,1,Vegan
6/12/2024,PA009,New York,Tokyo,Premium Economy,1715,Yes,0,Vegan
8/31/2024,PA004,Perth,London,First Class,599,Yes,0,Egg Free
1/28/2024,PA001,London,New York,Premium Economy,1395,Yes,0,Vegetarian
5/26/2024,PA003,London,Perth,Economy,2455,Yes,3,Dairy Free
8/28/2024,PA004,Perth,London,Economy,3050,Yes,3,Egg Free
1/3/2024,PA011,Perth,Tokyo,Economy,3500,Yes,2,Nut Free
12/23/2024,PA006,Tokyo,London,Business Class,480,Yes,2,Dairy Free
11/10/2024,PA007,New York,Perth,Premium Economy,1070,Yes,3,Vegetarian
3/26/2024,PA003,London,Perth,Business Class,508.8,Yes,1,Dairy Free
12/14/2024,PA011,Perth,Tokyo,Premium Economy,1310,Yes,3,Vegetarian
7/10/2024,PA005,London,Tokyo,Business Class,787.2,Yes,3,Dairy Free
10/31/2024,PA002,New York,London,First Class,275,Yes,1,Nut Free
5/14/2024,PA008,Perth,New York,Premium Economy,1477.5,Yes,1,Nut Free
4/4/2024,PA009,New York,Tokyo,Economy,3175,Yes,0,Vegetarian
6/20/2024,PA006,Tokyo,London,First Class,200,Yes,2,Dairy Free
2/13/2024,PA004,Perth,London,Premium Economy,752.5,Yes,0,None
5/14/2024,PA006,Tokyo,London,Premium Economy,990,Yes,2,Egg Free
10/29/2024,PA001,London,New York,First Class,216,Yes,0,Nut Free
2/10/2024,PA005,London,Tokyo,First Class,681,Yes,1,Vegetarian
8/13/2024,PA008,Perth,New York,First Class,506,Yes,2,Nut Free
4/3/2024,PA001,London,New York,Business Class,298.8,Yes,0,Vegan
6/19/2024,PA009,New York,Tokyo,Premium Economy,1275,Yes,1,None
3/7/2024,PA009,New York,Tokyo,Business Class,332.4,Yes,3,Egg Free
8/30/2024,PA005,London,Tokyo,Economy,3315,Yes,3,Nut Free
6/3/2024,PA002,New York,London,Economy,1230,Yes,0,Vegetarian
10/1/2024,PA002,New York,London,Economy,2415,Yes,0,Vegan
4/24/2024,PA012,Tokyo,Perth,Premium Economy,535,Yes,2,Vegan
6/20/2024,PA001,London,New York,Premium Economy,930,Yes,0,Vegan
10/9/2024,PA003,London,Perth,Economy,3415,Yes,3,Vegetarian
10/20/2024,PA005,London,Tokyo,First Class,514,Yes,1,Nut Free
2/15/2024,PA009,New York,Tokyo,Economy,2980,Yes,0,None
1/15/2024,PA008,Perth,New York,Business Class,502.8,Yes,3,Vegan
8/16/2024,PA010,Tokyo,New York,Economy,3265,Yes,2,Vegetarian
8/2/2024,PA008,Perth,New York,Premium Economy,1550,Yes,1,Dairy Free
7/13/2024,PA005,London,Tokyo,Economy,1480,Yes,1,Vegetarian
1/27/2024,PA002,New York,London,Business Class,489.6,Yes,1,None
9/19/2024,PA002,New York,London,Premium Economy,635,Yes,1,Vegetarian
8/16/2024,PA007,New York,Perth,Premium Economy,757.5,Yes,3,Egg Free
10/15/2024,PA009,New York,Tokyo,Premium Economy,870,Yes,0,Dairy Free
3/12/2024,PA007,New York,Perth,Business Class,434.4,Yes,1,Nut Free
4/15/2024,PA003,London,Perth,Business Class,249.6,Yes,3,Egg Free
5/13/2024,PA004,Perth,London,Economy,2785,Yes,3,Vegan
8/30/2024,PA005,London,Tokyo,Business Class,811.2,Yes,3,Vegan
10/1/2024,PA004,Perth,London,First Class,510,Yes,1,Vegetarian
5/19/2024,PA010,Tokyo,New York,Premium Economy,1555,Yes,2,Egg Free
6/1/2024,PA009,New York,Tokyo,First Class,274,Yes,3,Vegetarian
5/11/2024,PA005,London,Tokyo,Business Class,706.8,Yes,1,Egg Free
9/12/2024,PA008,Perth,New York,Economy,1315,Yes,0,Dairy Free
8/23/2024,PA011,Perth,Tokyo,Economy,1160,Yes,1,Dairy Free
9/23/2024,PA012,Tokyo,Perth,Economy,3495,Yes,0,Egg Free
7/27/2024,PA003,London,Perth,Premium Economy,1232.5,Yes,1,None
11/22/2024,PA001,London,New York,Economy,1030,Yes,1,None
5/29/2024,PA010,Tokyo,New York,Economy,2765,Yes,3,Dairy Free
2/4/2024,PA008,Perth,New York,Economy,1295,Yes,2,Egg Free
9/10/2024,PA012,Tokyo,Perth,Business Class,420,Yes,2,Nut Free
12/21/2024,PA002,New York,London,Business Class,379.2,Yes,0,Dairy Free
12/25/2024,PA003,London,Perth,First Class,473,Yes,0,None
7/15/2024,PA011,Perth,Tokyo,Premium Economy,1670,Yes,1,Vegan
12/9/2024,PA003,London,Perth,First Class,602,Yes,2,Egg Free
9/20/2024,PA010,Tokyo,New York,First Class,214,Yes,3,Dairy Free
12/23/2024,PA009,New York,Tokyo,Premium Economy,952.5,Yes,2,Egg Free
11/28/2024,PA005,London,Tokyo,Economy,2830,Yes,3,Vegan
12/3/2024,PA002,New York,London,Business Class,710.4,Yes,1,Dairy Free
3/5/2024,PA004,Perth,London,Economy,2655,Yes,2,Egg Free
12/8/2024,PA009,New York,Tokyo,First Class,644,Yes,0,Egg Free
7/23/2024,PA004,Perth,London,Economy,1360,Yes,3,Nut Free
3/23/2024,PA011,Perth,Tokyo,Premium Economy,572.5,Yes,2,Vegetarian
3/25/2024,PA004,Perth,London,Premium Economy,885,Yes,3,Egg Free
5/18/2024,PA008,Perth,New York,First Class,625,Yes,2,Egg Free
3/29/2024,PA002,New York,London,Economy,1515,Yes,2,None
5/29/2024,PA008,Perth,New York,Economy,3435,Yes,2,Egg Free
3/16/2024,PA011,Perth,Tokyo,Economy,2305,Yes,2,Vegetarian
8/7/2024,PA006,Tokyo,London,Business Class,460.8,Yes,1,Dairy Free
9/16/2024,PA001,London,New York,Premium Economy,507.5,Yes,0,Nut Free
9/22/2024,PA012,Tokyo,Perth,Economy,1550,Yes,1,Nut Free
4/4/2024,PA012,Tokyo,Perth,Business Class,583.2,Yes,1,Vegetarian
8/28/2024,PA011,Perth,Tokyo,Premium Economy,780,Yes,2,Vegan
6/14/2024,PA005,London,Tokyo,Business Class,421.2,Yes,0,None
6/27/2024,PA007,New York,Perth,Economy,2060,Yes,1,Nut Free
11/8/2024,PA002,New York,London,Premium Economy,865,Yes,3,Vegetarian
10/27/2024,PA002,New York,London,Economy,2780,Yes,2,Egg Free
11/24/2024,PA011,Perth,Tokyo,Business Class,415.2,Yes,3,Vegan
3/27/2024,PA003,London,Perth,Business Class,426,Yes,0,Egg Free
9/11/2024,PA010,Tokyo,New York,First Class,692,Yes,2,Vegetarian
12/23/2024,PA006,Tokyo,London,Premium Economy,1380,Yes,1,Egg Free
5/14/2024,PA008,Perth,New York,Economy,2435,Yes,0,Vegetarian
7/3/2024,PA012,Tokyo,Perth,Premium Economy,1582.5,Yes,1,Egg Free
